Assembly	final_contigs
# contigs (>= 0 bp)	81
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	9942
Total length (>= 1000 bp)	5407
Total length (>= 5000 bp)	5407
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	31
Largest contig	5407
Total length	8548
Reference length	808870899
GC (%)	45.06
Reference GC (%)	41.35
N50	5407
N75	143
L50	1
L75	8
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	5407
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	28 + 0 part
Unaligned length	2893
Genome fraction (%)	0.001
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.66
# indels per 100 kbp	0.00
Largest alignment	2132
Total aligned length	5552
NA50	814
NGA50	-
LA50	3
